idx,root_ar,root_translit,core_meaning,batch1,batch2,batch3
11,د خ ل,d-kh-l,entering,"[{""word"": ""دخل"", ""voweled"": ""دَخَلَ"", ""en"": ""to enter"", ""accept"": [""دَخَلَ"", ""دَخْل""]}, {""word"": ""دخول"", ""voweled"": ""دُخُول"", ""en"": ""entry""}, {""word"": ""مدخل"", ""voweled"": ""مَدْخَل"", ""en"": ""entrance"", ""plural"": {""word"": ""مداخل"", ""voweled"": ""مَدَاخِل""}}, {""word"": ""دخل"", ""voweled"": ""دَخْل"", ""en"": ""income"", ""accept"": [""دَخَلَ"", ""دَخْل""]}, {""word"": ""تدخل"", ""voweled"": ""تَدَخُّل"", ""en"": ""intervention""}]","[{""word"": ""داخل"", ""voweled"": ""دَاخِل"", ""en"": ""inside""}, {""word"": ""داخلي"", ""voweled"": ""دَاخِلِيّ"", ""en"": ""internal""}, {""word"": ""دخيل"", ""voweled"": ""دَخِيل"", ""en"": ""intruder; foreign element""}]",[]
12,ن ظ ر,n-ẓ-r,"looking, seeing","[{""word"": ""نظر"", ""voweled"": ""نَظَرَ"", ""en"": ""to look"", ""accept"": [""نَظَر"", ""نَظَرَ""]}, {""word"": ""نظر"", ""voweled"": ""نَظَر"", ""en"": ""sight; view"", ""accept"": [""نَظَر"", ""نَظَرَ""]}, {""word"": ""منظر"", ""voweled"": ""مَنْظَر"", ""en"": ""scene; view"", ""plural"": {""word"": ""مناظر"", ""voweled"": ""مَنَاظِر""}}, {""word"": ""نظرية"", ""voweled"": ""نَظَرِيَّة"", ""en"": ""theory"", ""plural"": {""word"": ""نظريات"", ""voweled"": ""نَظَرِيَّات""}}, {""word"": ""انتظار"", ""voweled"": ""اِنْتِظَار"", ""en"": ""waiting""}]","[{""word"": ""نظارة"", ""voweled"": ""نَظَّارَة"", ""en"": ""eyeglasses"", ""plural"": {""word"": ""نظارات"", ""voweled"": ""نَظَّارَات""}}, {""word"": ""مناظرة"", ""voweled"": ""مُنَاظَرَة"", ""en"": ""debate"", ""plural"": {""word"": ""مناظرات"", ""voweled"": ""مُنَاظَرَات""}}, {""word"": ""ناظر"", ""voweled"": ""نَاظِر"", ""en"": ""supervisor; principal""}, {""word"": ""نظير"", ""voweled"": ""نَظِير"", ""en"": ""counterpart"", ""plural"": {""word"": ""نظراء"", ""voweled"": ""نُظَرَاء""}}, {""word"": ""منظار"", ""voweled"": ""مِنْظَار"", ""en"": ""telescope; binoculars"", ""plural"": {""word"": ""مناظير"", ""voweled"": ""مَنَاظِير""}}]","[{""word"": ""نظري"", ""voweled"": ""نَظَرِيّ"", ""en"": ""theoretical""}]"
13,س م ع,s-m-ʿ,hearing,"[{""word"": ""سمع"", ""voweled"": ""سَمِعَ"", ""en"": ""to hear"", ""accept"": [""سَمِعَ"", ""سَمْع""]}, {""word"": ""سمع"", ""voweled"": ""سَمْع"", ""en"": ""(sense of) hearing"", ""accept"": [""سَمِعَ"", ""سَمْع""]}, {""word"": ""سماعة"", ""voweled"": ""سَمَّاعَة"", ""en"": ""headphone; receiver"", ""plural"": {""word"": ""سماعات"", ""voweled"": ""سَمَّاعَات""}}, {""word"": ""مستمع"", ""voweled"": ""مُسْتَمِع"", ""en"": ""listener"", ""plural"": {""word"": ""مستمعون"", ""voweled"": ""مُسْتَمِعُون""}}, {""word"": ""استماع"", ""voweled"": ""اِسْتِمَاع"", ""en"": ""listening""}]","[{""word"": ""سمعة"", ""voweled"": ""سُمْعَة"", ""en"": ""reputation""}, {""word"": ""مسموع"", ""voweled"": ""مَسْمُوع"", ""en"": ""audible""}]",[]
14,ع ر ف,ʿ-r-f,"knowing, recognizing","[{""word"": ""عرف"", ""voweled"": ""عَرَفَ"", ""en"": ""to know"", ""accept"": [""عَرَفَ"", ""عُرْف""]}, {""word"": ""معرفة"", ""voweled"": ""مَعْرِفَة"", ""en"": ""knowledge""}, {""word"": ""تعريف"", ""voweled"": ""تَعْرِيف"", ""en"": ""definition"", ""plural"": {""word"": ""تعريفات"", ""voweled"": ""تَعْرِيفَات""}}, {""word"": ""معروف"", ""voweled"": ""مَعْرُوف"", ""en"": ""well-known""}, {""word"": ""اعتراف"", ""voweled"": ""اِعْتِرَاف"", ""en"": ""confession; recognition""}]","[{""word"": ""عرف"", ""voweled"": ""عُرْف"", ""en"": ""custom; convention"", ""accept"": [""عَرَفَ"", ""عُرْف""]}, {""word"": ""تعارف"", ""voweled"": ""تَعَارُف"", ""en"": ""getting acquainted""}]",[]
15,ف ه م,f-h-m,understanding,"[{""word"": ""فهم"", ""voweled"": ""فَهِمَ"", ""en"": ""to understand"", ""accept"": [""فَهِمَ"", ""فَهْم""]}, {""word"": ""فهم"", ""voweled"": ""فَهْم"", ""en"": ""understanding"", ""accept"": [""فَهِمَ"", ""فَهْم""]}, {""word"": ""مفهوم"", ""voweled"": ""مَفْهُوم"", ""en"": ""concept; understood""}, {""word"": ""تفاهم"", ""voweled"": ""تَفَاهُم"", ""en"": ""mutual understanding""}, {""word"": ""استفهام"", ""voweled"": ""اِسْتِفْهَام"", ""en"": ""inquiry; interrogation""}]",[],[]
16,ق ر أ,q-r-ʾ,reading,"[{""word"": ""قرأ"", ""voweled"": ""قَرَأَ"", ""en"": ""to read""}, {""word"": ""قراءة"", ""voweled"": ""قِرَاءَة"", ""en"": ""reading""}, {""word"": ""قارئ"", ""voweled"": ""قَارِئ"", ""en"": ""reader"", ""plural"": {""word"": ""قراء"", ""voweled"": ""قُرَّاء""}}, {""word"": ""مقروء"", ""voweled"": ""مَقْرُوء"", ""en"": ""legible""}, {""word"": ""قرآن"", ""voweled"": ""قُرْآن"", ""en"": ""Quran""}]",[],[]
17,د ر س,d-r-s,studying,"[{""word"": ""درس"", ""voweled"": ""دَرَسَ"", ""en"": ""to study"", ""accept"": [""دَرَسَ"", ""دَرْس""]}, {""word"": ""درس"", ""voweled"": ""دَرْس"", ""en"": ""lesson"", ""plural"": {""word"": ""دروس"", ""voweled"": ""دُرُوس""}, ""accept"": [""دَرَسَ"", ""دَرْس""]}, {""word"": ""مدرسة"", ""voweled"": ""مَدْرَسَة"", ""en"": ""school"", ""plural"": {""word"": ""مدارس"", ""voweled"": ""مَدَارِس""}}, {""word"": ""مدرس"", ""voweled"": ""مُدَرِّس"", ""en"": ""teacher"", ""plural"": {""word"": ""مدرسون"", ""voweled"": ""مُدَرِّسُون""}}, {""word"": ""دراسة"", ""voweled"": ""دِرَاسَة"", ""en"": ""study"", ""plural"": {""word"": ""دراسات"", ""voweled"": ""دِرَاسَات""}}]","[{""word"": ""مدروس"", ""voweled"": ""مَدْرُوس"", ""en"": ""well-considered""}, {""word"": ""تدريس"", ""voweled"": ""تَدْرِيس"", ""en"": ""teaching""}]",[]
18,س أ ل,s-ʾ-l,asking,"[{""word"": ""سأل"", ""voweled"": ""سَأَلَ"", ""en"": ""to ask""}, {""word"": ""سؤال"", ""voweled"": ""سُؤَال"", ""en"": ""question"", ""plural"": {""word"": ""أسئلة"", ""voweled"": ""أَسْئِلَة""}}, {""word"": ""مسؤول"", ""voweled"": ""مَسْؤُول"", ""en"": ""responsible; official"", ""plural"": {""word"": ""مسؤولون"", ""voweled"": ""مَسْؤُولُون""}}, {""word"": ""مسؤولية"", ""voweled"": ""مَسْؤُولِيَّة"", ""en"": ""responsibility"", ""plural"": {""word"": ""مسؤوليات"", ""voweled"": ""مَسْؤُولِيَّات""}}, {""word"": ""مسألة"", ""voweled"": ""مَسْأَلَة"", ""en"": ""issue; matter"", ""plural"": {""word"": ""مسائل"", ""voweled"": ""مَسَائِل""}}]","[{""word"": ""تساؤل"", ""voweled"": ""تَسَاؤُل"", ""en"": ""questioning; wondering"", ""plural"": {""word"": ""تساؤلات"", ""voweled"": ""تَسَاؤُلَات""}}, {""word"": ""مساءلة"", ""voweled"": ""مُسَاءَلَة"", ""en"": ""accountability""}]",[]
19,ج و ب,j-w-b,answering,"[{""word"": ""أجاب"", ""voweled"": ""أَجَابَ"", ""en"": ""to answer""}, {""word"": ""جواب"", ""voweled"": ""جَوَاب"", ""en"": ""answer"", ""plural"": {""word"": ""أجوبة"", ""voweled"": ""أَجْوِبَة""}}, {""word"": ""إجابة"", ""voweled"": ""إِجَابَة"", ""en"": ""answer; response"", ""plural"": {""word"": ""إجابات"", ""voweled"": ""إِجَابَات""}}, {""word"": ""استجابة"", ""voweled"": ""اِسْتِجَابَة"", ""en"": ""response""}, {""word"": ""مجيب"", ""voweled"": ""مُجِيب"", ""en"": ""respondent""}]","[{""word"": ""تجاوب"", ""voweled"": ""تَجَاوُب"", ""en"": ""responsiveness""}]",[]
20,ح ب ب,ḥ-b-b,loving,"[{""word"": ""حب"", ""voweled"": ""حُبّ"", ""en"": ""love""}, {""word"": ""أحب"", ""voweled"": ""أَحَبَّ"", ""en"": ""to love""}, {""word"": ""حبيب"", ""voweled"": ""حَبِيب"", ""en"": ""beloved""}, {""word"": ""محبوب"", ""voweled"": ""مَحْبُوب"", ""en"": ""beloved; popular""}, {""word"": ""محبة"", ""voweled"": ""مَحَبَّة"", ""en"": ""affection""}]","[{""word"": ""حبة"", ""voweled"": ""حَبَّة"", ""en"": ""grain; pill"", ""plural"": {""word"": ""حبوب"", ""voweled"": ""حُبُوب""}}, {""word"": ""محب"", ""voweled"": ""مُحِبّ"", ""en"": ""lover; fan"", ""plural"": {""word"": ""محبون"", ""voweled"": ""مُحِبُّون""}}]",[]
21,ر و د,r-w-d,"wanting, seeking","[{""word"": ""أراد"", ""voweled"": ""أَرَادَ"", ""en"": ""to want""}, {""word"": ""إرادة"", ""voweled"": ""إِرَادَة"", ""en"": ""will""}, {""word"": ""مراد"", ""voweled"": ""مُرَاد"", ""en"": ""desire; aim""}, {""word"": ""رائد"", ""voweled"": ""رَائِد"", ""en"": ""pioneer""}, {""word"": ""ريادة"", ""voweled"": ""رِيَادَة"", ""en"": ""leadership; pioneering""}]",[],[]
22,ق د ر,q-d-r,"ability, measure, fate","[{""word"": ""قدر"", ""voweled"": ""قَدَرَ"", ""en"": ""to be able"", ""accept"": [""قَدَر"", ""قَدَرَ""]}, {""word"": ""قدرة"", ""voweled"": ""قُدْرَة"", ""en"": ""ability"", ""plural"": {""word"": ""قدرات"", ""voweled"": ""قُدُرَات"", ""forms"": [""قُدُرَات"", ""قُدْرَات""]}}, {""word"": ""قدر"", ""voweled"": ""قَدَر"", ""en"": ""fate"", ""accept"": [""قَدَر"", ""قَدَرَ""]}, {""word"": ""مقدار"", ""voweled"": ""مِقْدَار"", ""en"": ""amount"", ""plural"": {""word"": ""مقادير"", ""voweled"": ""مَقَادِير""}}, {""word"": ""تقدير"", ""voweled"": ""تَقْدِير"", ""en"": ""estimation; appreciation""}]","[{""word"": ""قدير"", ""voweled"": ""قَدِير"", ""en"": ""capable""}, {""word"": ""مقدرة"", ""voweled"": ""مَقْدِرَة"", ""en"": ""capability"", ""accept"": [""مَقْدِرَة"", ""مَقْدُرَة"", ""مَقْدَرَة""]}]",[]
23,ح و ل,ḥ-w-l,"changing, around","[{""word"": ""حاول"", ""voweled"": ""حَاوَلَ"", ""en"": ""to try""}, {""word"": ""محاولة"", ""voweled"": ""مُحَاوَلَة"", ""en"": ""attempt"", ""plural"": {""word"": ""محاولات"", ""voweled"": ""مُحَاوَلَات""}}, {""word"": ""حال"", ""voweled"": ""حَال"", ""en"": ""condition"", ""plural"": {""word"": ""أحوال"", ""voweled"": ""أَحْوَال""}}, {""word"": ""حالة"", ""voweled"": ""حَالَة"", ""en"": ""state; case"", ""plural"": {""word"": ""حالات"", ""voweled"": ""حَالَات""}}, {""word"": ""تحويل"", ""voweled"": ""تَحْوِيل"", ""en"": ""transfer; conversion""}]","[{""word"": ""حوالي"", ""voweled"": ""حَوَالَيْ"", ""en"": ""around; approximately""}, {""word"": ""تحول"", ""voweled"": ""تَحَوُّل"", ""en"": ""transformation"", ""plural"": {""word"": ""تحولات"", ""voweled"": ""تَحَوُّلَات""}}, {""word"": ""محول"", ""voweled"": ""مُحَوِّل"", ""en"": ""adapter; transformer""}, {""word"": ""حيلة"", ""voweled"": ""حِيلَة"", ""en"": ""trick; ruse"", ""plural"": {""word"": ""حيل"", ""voweled"": ""حِيَل""}}]",[]
24,و ص ل,w-ṣ-l,"arriving, connecting","[{""word"": ""وصل"", ""voweled"": ""وَصَلَ"", ""en"": ""to arrive""}, {""word"": ""وصول"", ""voweled"": ""وُصُول"", ""en"": ""arrival""}, {""word"": ""اتصال"", ""voweled"": ""اِتِّصَال"", ""en"": ""contact; call""}, {""word"": ""مواصلات"", ""voweled"": ""مُوَاصَلَات"", ""en"": ""transportation""}, {""word"": ""تواصل"", ""voweled"": ""تَوَاصُل"", ""en"": ""communication""}]","[{""word"": ""وصلة"", ""voweled"": ""وَصْلَة"", ""en"": ""link; connection"", ""plural"": {""word"": ""وصلات"", ""voweled"": ""وَصَلَات""}}, {""word"": ""إيصال"", ""voweled"": ""إِيصَال"", ""en"": ""receipt"", ""plural"": {""word"": ""إيصالات"", ""voweled"": ""إِيصَالَات""}}, {""word"": ""توصيل"", ""voweled"": ""تَوْصِيل"", ""en"": ""delivery""}, {""word"": ""صلة"", ""voweled"": ""صِلَة"", ""en"": ""connection; tie"", ""plural"": {""word"": ""صلات"", ""voweled"": ""صِلَات""}}]",[]
25,ط ل ب,ṭ-l-b,"seeking, requesting","[{""word"": ""طلب"", ""voweled"": ""طَلَبَ"", ""en"": ""to request"", ""accept"": [""طَلَب"", ""طَلَبَ""]}, {""word"": ""طلب"", ""voweled"": ""طَلَب"", ""en"": ""request; order"", ""plural"": {""word"": ""طلبات"", ""voweled"": ""طَلَبَات""}, ""accept"": [""طَلَب"", ""طَلَبَ""]}, {""word"": ""طالب"", ""voweled"": ""طَالِب"", ""en"": ""student"", ""plural"": {""word"": ""طلاب"", ""voweled"": ""طُلَّاب""}}, {""word"": ""مطلوب"", ""voweled"": ""مَطْلُوب"", ""en"": ""required; wanted""}, {""word"": ""متطلبات"", ""voweled"": ""مُتَطَلَّبَات"", ""en"": ""requirements""}]","[{""word"": ""مطلب"", ""voweled"": ""مَطْلَب"", ""en"": ""demand"", ""plural"": {""word"": ""مطالب"", ""voweled"": ""مَطَالِب""}}]",[]
26,ك ث ر,k-th-r,being many,"[{""word"": ""كثير"", ""voweled"": ""كَثِير"", ""en"": ""many; much""}, {""word"": ""كثرة"", ""voweled"": ""كَثْرَة"", ""en"": ""abundance""}, {""word"": ""أكثر"", ""voweled"": ""أَكْثَر"", ""en"": ""more; most""}, {""word"": ""أكثرية"", ""voweled"": ""أَكْثَرِيَّة"", ""en"": ""majority""}, {""word"": ""تكاثر"", ""voweled"": ""تَكَاثُر"", ""en"": ""proliferation""}]","[{""word"": ""مكثف"", ""voweled"": ""مُكَثَّف"", ""en"": ""intensive; condensed""}]",[]
27,ق ل ل,q-l-l,being few,"[{""word"": ""قليل"", ""voweled"": ""قَلِيل"", ""en"": ""few; little""}, {""word"": ""قلة"", ""voweled"": ""قِلَّة"", ""en"": ""scarcity""}, {""word"": ""أقل"", ""voweled"": ""أَقَلّ"", ""en"": ""less; least""}, {""word"": ""أقلية"", ""voweled"": ""أَقَلِّيَّة"", ""en"": ""minority""}, {""word"": ""تقليل"", ""voweled"": ""تَقْلِيل"", ""en"": ""reduction""}]","[{""word"": ""استقلال"", ""voweled"": ""اِسْتِقْلَال"", ""en"": ""independence""}, {""word"": ""مستقل"", ""voweled"": ""مُسْتَقِلّ"", ""en"": ""independent""}]",[]
28,ك ب ر,k-b-r,being big,"[{""word"": ""كبير"", ""voweled"": ""كَبِير"", ""en"": ""big""}, {""word"": ""كبر"", ""voweled"": ""كِبَر"", ""en"": ""old age; bigness""}, {""word"": ""أكبر"", ""voweled"": ""أَكْبَر"", ""en"": ""bigger; biggest""}, {""word"": ""تكبير"", ""voweled"": ""تَكْبِير"", ""en"": ""enlargement""}, {""word"": ""كبرياء"", ""voweled"": ""كِبْرِيَاء"", ""en"": ""pride""}]","[{""word"": ""تكبر"", ""voweled"": ""تَكَبُّر"", ""en"": ""arrogance""}]",[]
29,ص غ ر,ṣ-gh-r,being small,"[{""word"": ""صغير"", ""voweled"": ""صَغِير"", ""en"": ""small"", ""plural"": {""word"": ""صغار"", ""voweled"": ""صِغَار""}}, {""word"": ""صغر"", ""voweled"": ""صِغَر"", ""en"": ""smallness; childhood""}, {""word"": ""أصغر"", ""voweled"": ""أَصْغَر"", ""en"": ""smaller; smallest""}, {""word"": ""تصغير"", ""voweled"": ""تَصْغِير"", ""en"": ""diminution""}, {""word"": ""مصغر"", ""voweled"": ""مُصَغَّر"", ""en"": ""miniature""}]",[],[]
