idx,char,examples,distractors,batch,category,meanings,radical,components,complexity,retired
30,人,"[{""idx"": 144}, {""idx"": 3}, {""idx"": 10}, {""idx"": 145}, {""idx"": 146}, {""idx"": 147, ""batch"": 2}, {""idx"": 919}]","[{""word"": ""人菜"", ""reading"": ""じんさい"", ""meaning"": ""(non-word)""}, {""word"": ""人麺"", ""reading"": ""じんめん"", ""meaning"": ""(non-word)""}, {""word"": ""人駅"", ""reading"": ""じんえき"", ""meaning"": ""(non-word)""}]",1,Humans & Family,person,人,人,2,false
31,私,"[{""idx"": 148}, {""idx"": 149}, {""idx"": 150}, {""idx"": 151}]","[{""word"": ""私肉"", ""reading"": ""しにく"", ""meaning"": ""(non-word)""}, {""word"": ""私茶"", ""reading"": ""しちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""私山"", ""reading"": ""しやま"", ""meaning"": ""(non-word)""}]",1,Humans & Family,private; I; me,禾,禾 厶,7,false
32,男,"[{""idx"": 152}, {""idx"": 153}, {""idx"": 154}, {""idx"": 155}]","[{""word"": ""男肉"", ""reading"": ""だんにく"", ""meaning"": ""(non-word)""}, {""word"": ""男茶"", ""reading"": ""だんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""男水"", ""reading"": ""だんすい"", ""meaning"": ""(non-word)""}]",1,Humans & Family,male,田,田 力,7,false
33,女,"[{""idx"": 156}, {""idx"": 157}, {""idx"": 158}, {""idx"": 159}]","[{""word"": ""女肉"", ""reading"": ""じょにく"", ""meaning"": ""(non-word)""}, {""word"": ""女茶"", ""reading"": ""じょちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""女電"", ""reading"": ""じょでん"", ""meaning"": ""(non-word)""}]",1,Humans & Family,woman; female,女,女,3,false
34,子,"[{""idx"": 160}, {""idx"": 161}, {""idx"": 153}, {""idx"": 157}]","[{""word"": ""子肉"", ""reading"": ""こにく"", ""meaning"": ""(non-word)""}, {""word"": ""子茶"", ""reading"": ""こちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""子油"", ""reading"": ""こあぶら"", ""meaning"": ""(non-word)""}]",1,Humans & Family,child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac,子,子,3,false
35,名,"[{""idx"": 162}, {""idx"": 163}, {""idx"": 164}, {""idx"": 165}, {""idx"": 915}]","[{""word"": ""名菜"", ""reading"": ""めいさい"", ""meaning"": ""(non-word)""}, {""word"": ""名麺"", ""reading"": ""めいめん"", ""meaning"": ""(non-word)""}, {""word"": ""名駅"", ""reading"": ""めいえき"", ""meaning"": ""(non-word)""}]",1,Humans & Family,name; noted; distinguished; reputation,口,口 夕,6,false
36,友,"[{""idx"": 166}, {""idx"": 167}, {""idx"": 168}, {""idx"": 169}, {""idx"": 170}]","[{""word"": ""友肉"", ""reading"": ""ゆうにく"", ""meaning"": ""(non-word)""}, {""word"": ""友茶"", ""reading"": ""ゆうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""友水"", ""reading"": ""ゆうすい"", ""meaning"": ""(non-word)""}]",1,Humans & Family,friend,又,ノ 一 又,4,false
37,父,"[{""idx"": 171}, {""idx"": 172}, {""idx"": 173}, {""idx"": 174}]","[{""word"": ""父肉"", ""reading"": ""ちちにく"", ""meaning"": ""(non-word)""}, {""word"": ""父茶"", ""reading"": ""ちちちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""父道"", ""reading"": ""ふどう"", ""meaning"": ""(non-word)""}]",1,Humans & Family,father,父,父,4,false
38,母,"[{""idx"": 175}, {""idx"": 176}, {""idx"": 177}, {""idx"": 178}]","[{""word"": ""母肉"", ""reading"": ""ははにく"", ""meaning"": ""(non-word)""}, {""word"": ""母茶"", ""reading"": ""ぼちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""母電"", ""reading"": ""ぼでん"", ""meaning"": ""(non-word)""}]",1,Humans & Family,mother,毋,母 毋,5,false
39,上,"[{""idx"": 179}, {""idx"": 180}, {""idx"": 181}, {""idx"": 182}, {""idx"": 183}, {""idx"": 898}, {""idx"": 903}]","[{""word"": ""上肉"", ""reading"": ""じょうにく"", ""meaning"": ""(non-word)""}, {""word"": ""上茶"", ""reading"": ""じょうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""上油"", ""reading"": ""じょうゆ"", ""meaning"": ""(non-word)""}]",1,Transport,above; up,一,一 卜,3,false
40,下,"[{""idx"": 184}, {""idx"": 185}, {""idx"": 186}, {""idx"": 187}, {""idx"": 188}, {""idx"": 897}, {""idx"": 921}]","[{""word"": ""下肉"", ""reading"": ""かにく"", ""meaning"": ""(non-word)""}, {""word"": ""下茶"", ""reading"": ""かちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""下電"", ""reading"": ""かでん"", ""meaning"": ""(non-word)""}]",1,Transport,below; down; descend; give; low; inferior,一,｜ 一 卜,3,false
41,中,"[{""idx"": 189}, {""idx"": 190}, {""idx"": 191}, {""idx"": 192}, {""idx"": 193}, {""idx"": 194, ""batch"": 2}]","[{""word"": ""中肉"", ""reading"": ""ちゅうにく"", ""meaning"": ""(non-word)""}, {""word"": ""中茶"", ""reading"": ""ちゅうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""中油"", ""reading"": ""ちゅうゆ"", ""meaning"": ""(non-word)""}]",1,Transport,in; inside; middle; mean; center,丨,｜ 口,4,false
42,大,"[{""idx"": 195}, {""idx"": 146}, {""idx"": 196}, {""idx"": 197}, {""idx"": 916}]","[{""word"": ""大菜"", ""reading"": ""だいさい"", ""meaning"": ""(non-word)""}, {""word"": ""大麺"", ""reading"": ""だいめん"", ""meaning"": ""(non-word)""}, {""word"": ""大駅"", ""reading"": ""だいえき"", ""meaning"": ""(non-word)""}]",1,Descriptives,large; big,大,大,3,false
43,小,"[{""idx"": 198}, {""idx"": 199}, {""idx"": 200}, {""idx"": 201}, {""idx"": 202}]","[{""word"": ""小肉"", ""reading"": ""しょうにく"", ""meaning"": ""(non-word)""}, {""word"": ""小茶"", ""reading"": ""しょうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""小電"", ""reading"": ""しょうでん"", ""meaning"": ""(non-word)""}]",1,Descriptives,little; small,小,小,3,false
44,国,"[{""idx"": 203}, {""idx"": 204}, {""idx"": 192}, {""idx"": 205}, {""idx"": 206}]","[{""word"": ""国肉"", ""reading"": ""こくにく"", ""meaning"": ""(non-word)""}, {""word"": ""国茶"", ""reading"": ""こくちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""国油"", ""reading"": ""こくゆ"", ""meaning"": ""(non-word)""}]",1,City,country,囗,王 囗 丶,8,false
45,山,"[{""idx"": 207}, {""idx"": 94}]","[{""word"": ""山肉"", ""reading"": ""やまにく"", ""meaning"": ""(non-word)""}, {""word"": ""山電"", ""reading"": ""さんでん"", ""meaning"": ""(non-word)""}, {""word"": ""山油"", ""reading"": ""やまあぶら"", ""meaning"": ""(non-word)""}]",1,Nature,mountain,山,山,3,false
46,川,"[{""idx"": 209}, {""idx"": 201}]","[{""word"": ""川肉"", ""reading"": ""かわにく"", ""meaning"": ""(non-word)""}, {""word"": ""川茶"", ""reading"": ""かわちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""川電"", ""reading"": ""せんでん"", ""meaning"": ""(non-word)""}]",1,Nature,stream; river; river or three-stroke river radical (no. 47),巛,川,3,false
47,駅,"[{""idx"": 211}, {""idx"": 212}, {""idx"": 213}, {""idx"": 214}]","[{""word"": ""駅肉"", ""reading"": ""えきにく"", ""meaning"": ""(non-word)""}, {""word"": ""駅茶"", ""reading"": ""えきちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""駅水"", ""reading"": ""えきすい"", ""meaning"": ""(non-word)""}]",1,Transport,station,馬,馬 尸 灬 丶,14,false
48,町,"[{""idx"": 215}, {""idx"": 216}, {""idx"": 217}, {""idx"": 218}]","[{""word"": ""町肉"", ""reading"": ""まちにく"", ""meaning"": ""(non-word)""}, {""word"": ""町茶"", ""reading"": ""まちちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""町油"", ""reading"": ""まちゆ"", ""meaning"": ""(non-word)""}]",1,City,town; village; block; street,田,一 田 亅,7,false
49,道,"[{""idx"": 219}, {""idx"": 220}, {""idx"": 98}]","[{""word"": ""道肉"", ""reading"": ""どうにく"", ""meaning"": ""(non-word)""}, {""word"": ""道茶"", ""reading"": ""どうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""道米"", ""reading"": ""どうまい"", ""meaning"": ""(non-word)""}]",1,City,road-way; street; district; journey; course; moral; teachings,辵,辶 自 丷 首,12,false
50,店,"[{""idx"": 221}, {""idx"": 222}, {""idx"": 223}, {""idx"": 224}, {""idx"": 225}]","[{""word"": ""店肉"", ""reading"": ""てんにく"", ""meaning"": ""(non-word)""}, {""word"": ""店茶"", ""reading"": ""てんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""店水"", ""reading"": ""てんすい"", ""meaning"": ""(non-word)""}]",1,Shopping,store; shop,广,口 卜 广,8,false
51,家,"[{""idx"": 226}, {""idx"": 227}, {""idx"": 228}, {""idx"": 229}]","[{""word"": ""家菜"", ""reading"": ""かさい"", ""meaning"": ""(non-word)""}, {""word"": ""家麺"", ""reading"": ""かめん"", ""meaning"": ""(non-word)""}, {""word"": ""家駅"", ""reading"": ""かえき"", ""meaning"": ""(non-word)""}]",1,City,house; home; family; professional; expert; performer,宀,宀 豕,10,false
52,外,"[{""idx"": 230}, {""idx"": 205}, {""idx"": 231}, {""idx"": 232}, {""idx"": 233}]","[{""word"": ""外菜"", ""reading"": ""がいさい"", ""meaning"": ""(non-word)""}, {""word"": ""外麺"", ""reading"": ""がいめん"", ""meaning"": ""(non-word)""}, {""word"": ""外駅"", ""reading"": ""がいえき"", ""meaning"": ""(non-word)""}]",1,Transport,outside,夕,卜 夕,5,false
53,内,"[{""idx"": 234}, {""idx"": 235}, {""idx"": 236}]","[{""word"": ""内肉"", ""reading"": ""ないにく"", ""meaning"": ""(non-word)""}, {""word"": ""内茶"", ""reading"": ""ないちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""内油"", ""reading"": ""ないゆ"", ""meaning"": ""(non-word)""}]",1,Transport,inside; within; between; among; house; home,冂,人 冂,4,false
54,行,"[{""idx"": 237}, {""idx"": 238}, {""idx"": 239}, {""idx"": 240}, {""idx"": 241}]","[{""word"": ""行菜"", ""reading"": ""こうさい"", ""meaning"": ""(non-word)""}, {""word"": ""行麺"", ""reading"": ""こうめん"", ""meaning"": ""(non-word)""}, {""word"": ""行駅"", ""reading"": ""こうえき"", ""meaning"": ""(non-word)""}]",1,Actions,going; journey; carry out; conduct; act; line; row; bank,行,行 彳,6,false
55,来,"[{""idx"": 242}, {""idx"": 243}, {""idx"": 137}, {""idx"": 244}, {""idx"": 895}]","[{""word"": ""来肉"", ""reading"": ""らいにく"", ""meaning"": ""(non-word)""}, {""word"": ""来茶"", ""reading"": ""らいちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""来油"", ""reading"": ""らいゆ"", ""meaning"": ""(non-word)""}]",1,Actions,come; due; next; cause; become,木,｜ 二 米 亠 木,7,false
56,見,"[{""idx"": 245}, {""idx"": 246}, {""idx"": 247}, {""idx"": 248}, {""idx"": 249}]","[{""word"": ""見肉"", ""reading"": ""けんにく"", ""meaning"": ""(non-word)""}, {""word"": ""見茶"", ""reading"": ""けんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""見米"", ""reading"": ""けんまい"", ""meaning"": ""(non-word)""}]",1,Learning,see; hopes; chances; idea; opinion; look at; visible,見,見 目 儿,7,false
57,食,"[{""idx"": 250}, {""idx"": 251}, {""idx"": 252}, {""idx"": 253}]","[{""word"": ""食菜"", ""reading"": ""しょくさい"", ""meaning"": ""(non-word)""}, {""word"": ""食麺"", ""reading"": ""しょくめん"", ""meaning"": ""(non-word)""}, {""word"": ""食駅"", ""reading"": ""しょくえき"", ""meaning"": ""(non-word)""}]",1,Dining,eat; food,食,食,9,false
58,飲,"[{""idx"": 254}, {""idx"": 255}, {""idx"": 256}, {""idx"": 257}, {""idx"": 911}]","[{""word"": ""飲肉"", ""reading"": ""いんにく"", ""meaning"": ""(non-word)""}, {""word"": ""飲油"", ""reading"": ""いんゆ"", ""meaning"": ""(non-word)""}, {""word"": ""飲山"", ""reading"": ""いんざん"", ""meaning"": ""(non-word)""}]",1,Dining,drink; smoke; take,食,欠 食,12,false
59,言,"[{""idx"": 258}, {""idx"": 259}, {""idx"": 260}, {""idx"": 261}]","[{""word"": ""言肉"", ""reading"": ""げんにく"", ""meaning"": ""(non-word)""}, {""word"": ""言茶"", ""reading"": ""げんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""言水"", ""reading"": ""げんすい"", ""meaning"": ""(non-word)""}]",1,Learning,say; word,言,言,7,false
60,出,"[{""idx"": 262}, {""idx"": 263}, {""idx"": 264}, {""idx"": 265}, {""idx"": 266}, {""idx"": 895}]","[{""word"": ""出肉"", ""reading"": ""しゅつにく"", ""meaning"": ""(non-word)""}, {""word"": ""出茶"", ""reading"": ""しゅっちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""出油"", ""reading"": ""しゅつゆ"", ""meaning"": ""(non-word)""}]",1,Actions,exit; leave; go out; come out; put out; protrude,凵,｜ 山 凵,5,false
61,入,"[{""idx"": 267}, {""idx"": 268}, {""idx"": 269}, {""idx"": 270}, {""idx"": 914}]","[{""word"": ""入菜"", ""reading"": ""にゅうさい"", ""meaning"": ""(non-word)""}, {""word"": ""入麺"", ""reading"": ""にゅうめん"", ""meaning"": ""(non-word)""}, {""word"": ""入駅"", ""reading"": ""にゅうえき"", ""meaning"": ""(non-word)""}]",1,Actions,enter; insert,入,入,2,false
62,買,"[{""idx"": 271}, {""idx"": 272}, {""idx"": 273}]","[{""word"": ""買肉"", ""reading"": ""ばいにく"", ""meaning"": ""(non-word)""}, {""word"": ""買茶"", ""reading"": ""ばいちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""買米"", ""reading"": ""ばいまい"", ""meaning"": ""(non-word)""}]",1,Shopping,buy,貝,貝 目 ハ 罒,12,false
63,読,"[{""idx"": 274}, {""idx"": 275}, {""idx"": 276}, {""idx"": 902}]","[{""word"": ""読肉"", ""reading"": ""どくにく"", ""meaning"": ""(non-word)""}, {""word"": ""読茶"", ""reading"": ""どくちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""読水"", ""reading"": ""どくすい"", ""meaning"": ""(non-word)""}]",1,Learning,read,言,言 士 儿 冖,14,false
